Crop,N_Effect,P_Effect,K_Effect,pH_Effect
Blackgram,49.15,-12.16,-22.14,0.131
Blackgram,31.81,-10.97,-24.77,0.218
Blackgram,31.35,-11.09,-29.42,0.104
Blackgram,42.97,-13.5,-25.68,0.248
Blackgram,40.41,-14.51,-26.23,0.128
Blackgram,34.77,-14.55,-29.63,0.294
Blackgram,48.62,-11.64,-29.14,0.117
Blackgram,38.75,-14.18,-23.62,0.271
Blackgram,45.31,-12.23,-28.82,0.162
Blackgram,45.69,-10.26,-24.14,0.299
Blackgram,43.86,-10.51,-28.35,0.225
Blackgram,37.4,-11.78,-28.25,0.117
Blackgram,40.25,-14.72,-29.79,0.196
Blackgram,34.9,-12.62,-23.04,0.276
Blackgram,34.81,-11.72,-27.94,0.207
Blackgram,44.27,-11.43,-24.1,0.165
Blackgram,47.65,-11.51,-27.53,0.295
Blackgram,39.55,-11.46,-29.42,0.194
Blackgram,32.47,-13.81,-27.6,0.262
Blackgram,40.33,-13.98,-22.52,0.171
Blackgram,41.27,-10.57,-21.65,0.118
Blackgram,31.91,-12.76,-23.71,0.295
Blackgram,37.75,-11.85,-22.78,0.187
Blackgram,49.9,-14.78,-21.15,0.139
Blackgram,45.36,-13.05,-23.88,0.116
Blackgram,31.49,-11.23,-22.17,0.278
Blackgram,36.67,-13.08,-20.32,0.163
Blackgram,45.43,-11.44,-23.74,0.16
Blackgram,44.75,-12.53,-22.69,0.22
Blackgram,44.32,-10.64,-21.58,0.186
Blackgram,36.16,-12.88,-25.06,0.243
Blackgram,47.96,-10.95,-27.17,0.284
Blackgram,49.27,-12.44,-20.92,0.178
Blackgram,46.49,-13.16,-22.58,0.255
Blackgram,30.43,-11.94,-22.18,0.26
Blackgram,47.36,-11.98,-26.79,0.169
Blackgram,39.09,-12.09,-23.43,0.104
Blackgram,41.78,-12.39,-27.77,0.165
Blackgram,33.06,-12.63,-24.92,0.195
Blackgram,31.72,-14.04,-29.97,0.217
Blackgram,35.31,-14.79,-26.79,0.267
Blackgram,47.67,-10.38,-25.01,0.243
Blackgram,34.29,-13.19,-29.25,0.17
Blackgram,45.18,-12.2,-26.89,0.275
Blackgram,49.65,-12.81,-22.99,0.171
Blackgram,43.49,-11.37,-28.95,0.22
Blackgram,36.45,-10.88,-26.42,0.246
Blackgram,45.95,-11.83,-20.41,0.147
Blackgram,45.43,-12.69,-26.61,0.159
Blackgram,39.39,-10.9,-22.13,0.17
Blackgram,40.97,-11.14,-25.3,0.249
Blackgram,31.77,-13.89,-24.37,0.143
Blackgram,40.28,-13.6,-27.62,0.223
Blackgram,48.57,-13.77,-29.11,0.245
Blackgram,41.29,-12.34,-21.35,0.201
Blackgram,43.83,-13.95,-24.25,0.28
Blackgram,36.14,-12.3,-23.08,0.133
Blackgram,45.21,-11.53,-20.42,0.21
Blackgram,34.34,-10.93,-26.74,0.276
Blackgram,44.25,-13.13,-27.72,0.145
Blackgram,35.08,-11.6,-23.11,0.283
Blackgram,41.47,-11.05,-27.16,0.208
Blackgram,41.15,-10.48,-20.09,0.102
Blackgram,34.99,-12.66,-23.63,0.164
Blackgram,45.92,-12.35,-24.0,0.283
Blackgram,43.23,-10.08,-24.2,0.246
Blackgram,31.81,-10.1,-27.73,0.271
Blackgram,45.15,-10.21,-22.34,0.296
Blackgram,31.69,-10.38,-25.37,0.166
Blackgram,44.84,-10.44,-24.11,0.213
Blackgram,42.18,-14.02,-24.27,0.205
Blackgram,35.63,-10.35,-29.39,0.121
Blackgram,48.99,-13.9,-27.19,0.228
Blackgram,34.1,-13.38,-26.45,0.204
Blackgram,31.98,-13.31,-28.14,0.251
Blackgram,31.59,-12.41,-24.39,0.2
Blackgram,49.86,-12.08,-27.29,0.228
Blackgram,41.67,-12.05,-27.3,0.278
Blackgram,41.9,-14.03,-28.54,0.217
Blackgram,49.09,-14.04,-28.96,0.296
Blackgram,41.8,-12.34,-24.23,0.166
Blackgram,39.2,-10.82,-29.14,0.246
Blackgram,43.3,-10.03,-28.58,0.294
Blackgram,43.59,-13.57,-20.3,0.179
Blackgram,32.12,-11.44,-23.82,0.115
Blackgram,31.86,-14.78,-28.29,0.246
Blackgram,44.43,-12.23,-29.55,0.18
Blackgram,32.34,-10.18,-22.51,0.287
Blackgram,42.81,-14.41,-21.0,0.298
Blackgram,39.01,-11.65,-20.66,0.27
Blackgram,31.1,-11.61,-20.71,0.138
Blackgram,39.93,-12.07,-29.03,0.162
Blackgram,48.64,-14.74,-21.52,0.215
Blackgram,43.11,-13.11,-20.57,0.127
Blackgram,40.92,-12.01,-22.86,0.163
Blackgram,32.34,-12.74,-25.29,0.236
Blackgram,43.02,-14.32,-24.18,0.185
Blackgram,45.82,-10.68,-27.5,0.11
Blackgram,36.89,-13.74,-29.0,0.177
Blackgram,31.97,-12.6,-26.88,0.179
Blackgram,30.63,-14.4,-26.68,0.238
Blackgram,34.68,-13.38,-22.22,0.299
Blackgram,49.44,-13.44,-24.31,0.284
Blackgram,45.04,-11.68,-26.89,0.236
Blackgram,42.62,-10.14,-28.41,0.211
Blackgram,48.41,-14.29,-23.97,0.187
Blackgram,41.59,-12.68,-20.75,0.185
Blackgram,42.23,-13.64,-24.94,0.217
Blackgram,35.64,-12.8,-24.1,0.283
Blackgram,41.26,-11.3,-22.86,0.291
Blackgram,35.99,-12.83,-25.78,0.264
Blackgram,33.66,-13.48,-28.8,0.159
Blackgram,32.84,-13.12,-22.09,0.213
Blackgram,31.96,-13.66,-22.22,0.291
Blackgram,33.72,-11.94,-22.54,0.138
Blackgram,34.06,-11.76,-20.52,0.16
Blackgram,34.08,-10.78,-21.83,0.208
Blackgram,37.65,-11.49,-21.63,0.274
Blackgram,36.45,-12.27,-26.16,0.238
Blackgram,37.36,-11.26,-29.66,0.267
Blackgram,42.98,-12.83,-25.57,0.213
Blackgram,38.81,-14.8,-22.4,0.297
Blackgram,38.33,-13.47,-27.57,0.19
Blackgram,38.37,-10.06,-23.54,0.153
Blackgram,40.37,-14.9,-23.36,0.274
Blackgram,42.75,-12.28,-21.9,0.275
Blackgram,40.58,-14.55,-30.0,0.127
Blackgram,36.03,-12.96,-27.97,0.279
Blackgram,45.09,-11.88,-27.24,0.17
Blackgram,45.88,-11.24,-23.04,0.137
Blackgram,48.68,-10.26,-29.03,0.242
Blackgram,30.22,-13.61,-28.19,0.186
Blackgram,39.88,-13.23,-29.04,0.137
Blackgram,39.65,-12.44,-21.42,0.286
Blackgram,48.39,-13.0,-25.17,0.28
Blackgram,47.9,-11.52,-22.76,0.152
Blackgram,31.79,-13.02,-20.78,0.291
Blackgram,30.66,-11.9,-22.66,0.166
Blackgram,47.11,-14.81,-20.85,0.245
Blackgram,44.48,-13.47,-26.36,0.254
Blackgram,40.3,-11.82,-28.2,0.202
Blackgram,44.8,-14.33,-24.05,0.135
Blackgram,43.17,-11.61,-25.48,0.289
Blackgram,45.05,-11.74,-20.86,0.158
Blackgram,46.63,-13.23,-20.9,0.138
Blackgram,48.16,-11.6,-29.29,0.191
Blackgram,31.82,-13.59,-22.6,0.126
Blackgram,31.32,-12.92,-25.17,0.215
Blackgram,38.19,-12.75,-22.33,0.18
Blackgram,39.07,-11.32,-26.0,0.129
Blackgram,48.55,-14.17,-22.2,0.236
Blackgram,31.01,-14.18,-21.47,0.206
Blackgram,39.45,-14.46,-23.96,0.16
Blackgram,34.26,-14.48,-28.35,0.132
Blackgram,34.63,-11.32,-23.92,0.238
Blackgram,47.45,-11.24,-20.15,0.142
Blackgram,42.7,-10.49,-26.54,0.201
Blackgram,42.44,-10.73,-23.71,0.113
Blackgram,48.32,-13.03,-26.35,0.144
